Date,ABBV,BIIB,DHR,JNJ,LLY,MRK,NVS,PFE,UNH
2020-12-22,94.41632080078125,247.8699951171875,221.43533325195312,145.15213012695312,162.01658630371094,71.31876373291016,81.37133026123047,34.24446487426758,327.1930847167969
2020-12-23,94.857177734375,251.1999969482422,219.0911407470703,144.41078186035156,160.81158447265625,71.62409210205078,81.5558853149414,34.89691162109375,329.7128601074219
2020-12-24,94.83882141113281,248.88999938964844,220.18466186523438,144.91453552246094,161.9582977294922,71.96533966064453,81.71276092529297,34.738468170166016,332.8382568359375
2020-12-28,95.01332092285156,244.14999389648438,221.43724060058594,145.598876953125,161.80279541015625,72.24370574951172,84.15814208984375,34.319026947021484,337.8778381347656
2020-12-29,96.161376953125,243.4600067138672,221.54660034179688,146.50177001953125,161.88055419921875,73.1147689819336,86.14213562011719,34.53340530395508,339.24517822265625
2020-12-30,96.68489837646484,243.5800018310547,219.37940979003906,148.31712341308594,162.2984161376953,72.36943817138672,87.07415008544922,34.24446487426758,336.940185546875
2020-12-31,98.41157531738281,244.86000061035156,220.83082580566406,149.58120727539062,164.0767822265625,73.45600891113281,87.13874816894531,34.30970764160156,342.4974670410156
2021-01-04,96.81348419189453,242.9499969482422,221.91441345214844,148.74481201171875,160.83099365234375,72.7016830444336,87.08338165283203,34.30970764160156,341.344970703125
2021-01-05,97.81459045410156,246.38999938964844,227.4217529296875,150.49363708496094,161.62791442871094,72.82740783691406,87.30484771728516,34.66389465332031,336.7546081542969
2021-01-06,96.96961975097656,247.75,234.9571075439453,151.90980529785156,159.68431091308594,73.97685241699219,86.28977966308594,34.365631103515625,350.88702392578125
2021-01-07,98.00746154785156,250.44000244140625,238.2972869873047,152.4230499267578,161.15170288085938,75.44954681396484,86.18827819824219,34.542724609375,356.5126037597656
2021-01-08,98.52178955078125,252.5399932861328,242.05502319335938,152.10940551757812,161.71534729003906,74.56053924560547,86.77885437011719,34.60797882080078,354.910888671875
2021-01-11,100.12906646728516,267.5199890136719,242.6813201904297,151.4726104736328,180.6943817138672,76.32958984375,87.1018295288086,35.20450210571289,352.3324890136719
2021-01-12,100.82708740234375,267.3900146484375,239.27149963378906,150.29403686523438,173.7558135986328,74.61441040039062,86.60353088378906,34.654579162597656,349.03131103515625
2021-01-13,103.27933502197266,266.6700134277344,238.42652893066406,150.06593322753906,180.26681518554688,73.94092559814453,86.105224609375,34.3563117980957,346.7557373046875
2021-01-14,103.72534942626953,280.2900085449219,235.30503845214844,152.6891632080078,181.42323303222656,73.78825378417969,87.31407165527344,34.253787994384766,342.3509826660156
2021-01-15,102.6939468383789,275.8399963378906,235.354736328125,152.3565216064453,185.38809204101562,74.87483978271484,88.24608612060547,34.207183837890625,343.10296630859375
2021-01-19,104.23641204833984,273.8399963378906,234.718505859375,154.71360778808594,192.88063049316406,74.70421600341797,89.2242431640625,34.23514175415039,343.97222900390625
2021-01-20,104.64524841308594,270.2799987792969,235.65296936035156,154.3334503173828,195.58216857910156,74.0486831665039,89.43648529052734,34.0207633972168,342.6536865234375
2021-01-21,103.38155364990234,270.1199951171875,231.72625732421875,153.71563720703125,196.6414337158203,72.89924621582031,89.39956665039062,34.00212478637695,346.7166748046875
2021-01-22,103.0098648071289,269.44000244140625,236.63711547851562,155.44544982910156,200.3245086669922,72.71965026855469,89.41802978515625,34.06736373901367,339.4403991699219
2021-01-25,102.67536926269531,275.5400085449219,236.74647521972656,157.7550506591797,206.3593292236328,72.87230682373047,90.86680603027344,34.74778747558594,339.6944274902344
2021-01-26,101.09574890136719,271.6700134277344,232.60107421875,162.03207397460938,206.71888732910156,72.06411743164062,88.53215789794922,34.7757453918457,335.10406494140625
2021-01-27,95.51132202148438,265.1499938964844,220.89048767089844,159.5609130859375,201.71417236328125,69.20848846435547,85.72688293457031,33.77842712402344,325.22021484375
2021-01-28,96.83076477050781,267.8699951171875,227.22296142578125,160.7774658203125,204.19223022460938,69.97178649902344,85.6715087890625,33.78784942626953,330.25982666015625
2021-01-29,95.22327423095703,282.6099853515625,236.4383087158203,155.0462646484375,202.10289001464844,69.20848846435547,83.48451232910156,33.82554244995117,325.7964782714844
2021-02-01,95.0560302734375,278.4599914550781,240.32525634765625,154.6470947265625,197.4091339111328,69.46891784667969,82.82933807373047,33.73131561279297,326.2066955566406
2021-02-02,96.14317321777344,277.7200012207031,243.6455535888672,153.25942993164062,191.986572265625,69.83708953857422,82.70014953613281,32.96812438964844,330.8164978027344
2021-02-03,99.37674713134766,263.25,236.8260040283203,152.5465850830078,191.40347290039062,69.43297576904297,82.44175720214844,32.826786041259766,330.00592041015625
2021-02-04,100.84485626220703,267.3900146484375,234.1419219970703,153.96278381347656,195.93203735351562,68.27457427978516,83.63215637207031,32.8739013671875,321.6358947753906
2021-02-05,101.03070068359375,265.0899963378906,234.20156860351562,156.3008575439453,196.07778930664062,68.06803894042969,83.53987884521484,32.90216827392578,316.9381103515625
2021-02-08,99.27452850341797,268.92999267578125,234.26121520996094,156.74758911132812,199.9649658203125,67.38555908203125,83.97359466552734,32.807945251464844,316.77203369140625
2021-02-09,97.93650817871094,269.30999755859375,235.60324096679688,158.03067016601562,196.01950073242188,67.38555908203125,84.50880432128906,32.94927978515625,321.9385986328125
2021-02-10,96.68209838867188,275.0,236.0903778076172,158.54391479492188,198.62387084960938,67.2508544921875,84.40730285644531,32.73257064819336,325.6206970214844
2021-02-11,96.40335083007812,278.80999755859375,239.24168395996094,157.83106994628906,197.6870880126953,67.11615753173828,85.07170867919922,32.44047927856445,325.29840087890625
2021-02-12,97.04448699951172,278.0299987792969,244.45079040527344,158.32533264160156,202.2833251953125,67.34963989257812,84.92405700683594,32.71371841430664,320.5810546875
2021-02-16,96.82147979736328,279.32000732421875,240.84219360351562,156.89013671875,200.79025268554688,66.6761474609375,84.3980712890625,32.68545913696289,317.0455322265625
2021-02-17,98.76348876953125,276.6700134277344,238.49610900878906,157.45089721679688,201.47335815429688,67.83454895019531,83.13385009765625,32.8739013671875,319.23321533203125
2021-02-18,98.54976654052734,275.8999938964844,236.00091552734375,157.5269317626953,196.26234436035156,67.71781921386719,82.48789978027344,32.56296920776367,320.7470703125
2021-02-19,97.57411193847656,278.3500061035156,229.877197265625,154.90371704101562,196.06715393066406,66.73002624511719,81.58357238769531,32.44989776611328,317.0064392089844
2021-02-22,99.47895812988281,284.6300048828125,224.17103576660156,154.8080596923828,195.8329620361328,67.28678894042969,81.12218475341797,32.280296325683594,319.99505615234375
2021-02-23,98.74488830566406,279.0799865722656,222.53076171875,153.44046020507812,197.58949279785156,66.93656158447266,79.82105255126953,31.950531005859375,321.8214111328125
2021-02-24,100.9935302734375,282.739990234375,221.68577575683594,155.4966583251953,199.58021545410156,66.96349334716797,80.67923736572266,31.799774169921875,324.4584045410156
2021-02-25,99.72985076904297,277.260009765625,217.96780395507812,155.65924072265625,198.89712524414062,67.00840759277344,80.01483154296875,31.86573028564453,321.19635009765625
2021-02-26,100.1108169555664,272.8800048828125,218.3753662109375,151.54685974121094,199.94126892089844,65.21241760253906,79.27660369873047,31.554800033569336,324.4681396484375
2021-03-01,100.73336029052734,273.239990234375,224.34002685546875,152.3693389892578,201.4831085205078,64.99688720703125,80.69769287109375,31.743240356445312,326.84149169921875
2021-03-02,100.2130126953125,269.8500061035156,222.7693328857422,152.08241271972656,199.2093963623047,65.4189453125,81.36209869384766,31.573637008666992,326.8317565917969
2021-03-03,99.15373992919922,266.6000061035156,218.38536071777344,149.40457153320312,197.12107849121094,65.82305145263672,80.79920196533203,32.40279006958008,325.10302734375
2021-03-04,98.1688003540039,263.57000732421875,213.14639282226562,146.39199829101562,195.6963348388672,64.80831146240234,80.14460754394531,32.22377014160156,326.0211181640625
2021-03-05,99.14444732666016,270.7099914550781,217.06317138671875,149.28981018066406,201.92222595214844,65.67037963867188,80.63411712646484,32.40279006958008,339.0009765625
2021-03-08,98.59623718261719,270.010009765625,211.1283721923828,150.53306579589844,202.02957153320312,66.60430145263672,80.36537170410156,32.3651008605957,341.9993591308594
2021-03-09,99.22808074951172,266.489990234375,215.0650177001953,150.8199920654297,201.1317901611328,66.5773696899414,80.1830062866211,32.45932388305664,343.76715087890625
2021-03-10,100.3523941040039,262.6099853515625,211.6750946044922,152.2067413330078,200.48776245117188,67.13412475585938,80.806884765625,32.911590576171875,341.442626953125
2021-03-11,100.23159790039062,267.44000244140625,217.9280242919922,152.19717407226562,200.25355529785156,67.01737213134766,81.33477783203125,32.70429992675781,344.8609924316406
2021-03-12,100.55682373046875,266.1300048828125,213.41477966308594,152.63711547851562,203.05421447753906,67.57902526855469,80.7492904663086,32.9210090637207,348.9481506347656
2021-03-15,102.45235443115234,260.1300048828125,215.7211151123047,153.4213409423828,184.59120178222656,69.05562591552734,81.86267852783203,33.363853454589844,346.8506774902344
2021-03-16,102.99128723144531,259.9200134277344,214.62759399414062,154.32989501953125,186.2891845703125,69.58103942871094,82.55374908447266,33.759586334228516,347.5563659667969
2021-03-17,97.60198974609375,264.1499938964844,212.8779754638672,153.75608825683594,182.2198944091797,70.02490997314453,82.19861602783203,33.72189712524414,345.1844482421875
2021-03-18,96.42191314697266,262.2699890136719,214.67730712890625,153.46913146972656,179.48751831054688,69.99774932861328,81.7571029663086,33.70305252075195,354.85833740234375
2021-03-19,96.09671783447266,267.07000732421875,219.75718688964844,153.05792236328125,179.83885192871094,70.21515655517578,82.48656463623047,33.4769172668457,358.3182373046875
2021-03-22,98.40109252929688,272.3399963378906,222.23252868652344,153.49783325195312,181.3513946533203,70.21515655517578,83.03365325927734,33.919761657714844,359.5728454589844
2021-03-23,97.4161605834961,267.2099914550781,219.02157592773438,153.35438537597656,179.24356079101562,69.09186553955078,82.793701171875,33.316741943359375,361.1802673339844
2021-03-24,95.76219177246094,265.69000244140625,218.1765594482422,154.84632873535156,175.818359375,69.06468200683594,82.56333923339844,33.55229949951172,363.238525390625
2021-03-25,96.52413940429688,273.9700012207031,217.609375,154.90370178222656,178.66783142089844,68.91067504882812,83.70552825927734,33.60882568359375,363.71881103515625
