Date,COST,KO,PEP,PG,PM,UL,WMT
2022-02-08,518.4710083007812,60.64550018310547,168.58261108398438,156.92788696289062,99.76883697509766,50.37456130981445,136.3666229248047
2022-02-09,526.1115112304688,59.70647048950195,168.50421142578125,156.57470703125,100.00901794433594,50.22045135498047,136.07012939453125
2022-02-10,515.8147583007812,60.03904342651367,165.0055389404297,154.19076538085938,100.9408950805664,49.33432388305664,134.47906494140625
2022-02-11,507.050048828125,58.97285461425781,165.2113494873047,153.32745361328125,103.71732330322266,50.78873062133789,133.73789978027344
2022-02-14,503.95599365234375,59.35433578491211,163.36892700195312,153.76893615722656,104.94700622558594,49.7003288269043,132.37413024902344
2022-02-15,511.27813720703125,59.579307556152344,162.64370727539062,153.847412109375,105.36011505126953,49.594383239746094,132.7891845703125
2022-02-16,509.7660217285156,59.56953048706055,162.9769287109375,155.01486206054688,107.1854476928711,49.97002410888672,131.95907592773438
2022-02-17,512.3626098632812,60.762874603271484,163.4179229736328,156.79055786132812,107.50247955322266,49.78701400756836,137.24612426757812
2022-02-18,510.0345764160156,61.173702239990234,164.35874938964844,156.8690185546875,107.22388458251953,50.37456130981445,136.3666229248047
2022-02-22,499.5985107421875,60.91938018798828,164.9859619140625,154.9363555908203,104.32255554199219,49.459529876708984,134.8447265625
2022-02-23,492.7140808105469,60.24445724487305,163.35911560058594,153.0037078857422,104.32255554199219,49.7003288269043,133.46119689941406
2022-02-24,502.98101806640625,59.188045501708984,160.51707458496094,148.88331604003906,98.75049591064453,47.704078674316406,132.9473114013672
2022-02-25,514.829833984375,61.476924896240234,165.01535034179688,155.24049377441406,101.10420227050781,49.15289306640625,134.7755584716797
2022-02-28,516.5807495117188,60.88025665283203,160.46807861328125,152.93504333496094,97.09809112548828,48.88063049316406,133.56991577148438
2022-03-01,520.2418823242188,60.61615753173828,159.02745056152344,150.4039306640625,97.45355224609375,47.392921447753906,134.39013671875
2022-03-02,525.2858276367188,61.066104888916016,161.23248291015625,150.8748321533203,98.51031494140625,47.324851989746094,134.55813598632812
2022-03-03,530.309814453125,61.105228424072266,161.05984497070312,151.4340362548828,98.45267486572266,46.38166046142578,137.65130615234375
2022-03-04,522.798583984375,61.20304489135742,163.5062713623047,152.19924926757812,95.87800598144531,44.4174919128418,141.13978576660156
2022-03-07,525.8031005859375,59.74559783935547,160.25094604492188,149.94285583496094,89.53736114501953,42.667240142822266,140.00331115722656
2022-03-08,520.6696166992188,57.37846755981445,155.7329559326172,144.0075225830078,90.27710723876953,42.5019416809082,137.1077880859375
